tenant,purchase_issue_item_id,ucode,batch,assigned_bin,return_quantity,amount,pre_purchase_issue_id,purchase_issue_id,purchase_issue_status
th214,692860,220831,RNR30805,,6,492.31,614804,662533,READY_FOR_RACKING
th214,714782,I15593,N2200642,,1,216.72,607783,684043,READY_FOR_RACKING
th214,715245,N16824,1HT-7275,,2,221.76,640198,684503,READY_FOR_RACKING
th214,707669,184330,2208000326,,1,52.99,607955,676935,READY_FOR_RACKING
th214,717188,X35257,MV014,,1,38.22,564907,686446,READY_FOR_RACKING
th214,717193,X35257,MV012,,9,343.98,608246,686451,READY_FOR_RACKING
th214,683113,H12756,6843,,5,0.00,616990,653137,dormant
th214,683118,W53806,1903116,,1,0.00,616979,653137,dormant
th214,683119,373863,PT2208880,,1,0.00,616978,653137,dormant
th214,683122,L58032,GP20001A,,1,0.00,616975,653137,dormant
th214,730336,Q25671,58048MN2D,,1,475.20,477074,698460,READY_FOR_RACKING
th214,734385,168210,203CPAM2,,1,8.96,517828,702508,READY_FOR_RACKING
th214,759479,F13360,23442459,,1,121.17,665133,725936,READY_FOR_RACKING
th214,759510,O68759,5JAIW091,,1,88.00,573511,725967,READY_FOR_RACKING
th214,759516,O68759,5JAIW091,,1,88.00,594427,725973,READY_FOR_RACKING
th214,759787,077430,SA31960,,1,296.93,654901,726244,READY_FOR_RACKING
th214,761387,224276,TPJ0028,,2,317.92,607980,727842,READY_FOR_RACKING
th214,761479,I30430,SP23003,,1,82.60,673055,727934,READY_FOR_RACKING
th214,897188,P39268,2148757,,1,2758.90,667676,856440,READY_FOR_RACKING
th214,897190,P39268,2148757,,2,5517.79,668547,856442,READY_FOR_RACKING
th214,891602,A02219,FT51925003,,4,517.44,699433,853101,READY_FOR_RACKING
